Configuration: SHA-512 8 2 1000
Iteration 100: 0.000019084 0.000146541 0.000196334 0.000130041
Iteration 101: 0.000012250 0.000225875 0.000136791 0.000121000
Iteration 102: 0.000013834 0.000197042 0.000172084 0.000101666
Iteration 103: 0.000026000 0.000191583 0.000199541 0.000260459
Iteration 104: 0.000033708 0.000217792 0.000211583 0.000043000
Iteration 105: 0.000014209 0.000160584 0.000169000 0.000137292
Iteration 106: 0.000012542 0.000165792 0.000204542 0.000098833
Iteration 107: 0.000012583 0.000162084 0.000228333 0.000090750
Iteration 108: 0.000014750 0.000157666 0.000183958 0.000125125
Iteration 109: 0.000012291 0.000148584 0.000190917 0.000133708
Iteration 110: 0.000012416 0.000221500 0.000194833 0.000059708
Iteration 111: 0.000012541 0.000130750 0.000161542 0.000178625
Iteration 112: 0.000014375 0.000180666 0.000146167 0.000135083
Iteration 113: 0.000012458 0.000132875 0.000207792 0.000122667
Iteration 114: 0.000012542 0.000164958 0.000162709 0.000136416
Iteration 115: 0.000012250 0.000143208 0.000185750 0.000139167
Iteration 116: 0.000012250 0.000137583 0.000141792 0.000183709
Iteration 117: 0.000012250 0.000203917 0.000193958 0.000066250
Iteration 118: 0.000012083 0.000236708 0.000219667 0.000090083
Iteration 119: 0.000021125 0.000231209 0.000318791 0.000030750
Iteration 120: 0.000017584 0.000201583 0.000210791 0.000052625
Iteration 121: 0.000014791 0.000181250 0.000168917 0.000114583
Iteration 122: 0.000012459 0.000223833 0.000200750 0.000039833
Iteration 123: 0.000012291 0.000136417 0.000169916 0.000159167
Iteration 124: 0.000012083 0.000166083 0.000182375 0.000214125
Iteration 125: 0.000025833 0.000224042 0.000160292 0.000084917
Iteration 126: 0.000018167 0.000182333 0.000160125 0.000123792
Iteration 127: 0.000012250 0.000184083 0.000216500 0.000077000
Iteration 128: 0.000016459 0.000181125 0.000199542 0.000135458
Iteration 129: 0.000015125 0.000151542 0.000178375 0.000137416
Iteration 130: 0.000014042 0.000152417 0.000142667 0.000183167
Iteration 131: 0.000016083 0.000183708 0.000220000 0.000053583
Iteration 132: 0.000013792 0.000124416 0.000181750 0.000174125
Iteration 133: 0.000014084 0.000184583 0.000365000 0.000094292
Iteration 134: 0.000023917 0.000161125 0.000242500 0.000135125
Iteration 135: 0.000017208 0.000174209 0.000297625 0.000135542
Iteration 136: 0.000020834 0.000154333 0.000213125 0.000100375
Iteration 137: 0.000014917 0.000231958 0.000166917 0.000096667
Iteration 138: 0.000014125 0.000169500 0.000167958 0.000129292
Iteration 139: 0.000014833 0.000170958 0.000156500 0.000133875
Iteration 140: 0.000014292 0.000175625 0.000138666 0.000148500
Iteration 141: 0.000013792 0.000214417 0.000196292 0.000049000
Iteration 142: 0.000012042 0.000215458 0.000183000 0.000062542
Iteration 143: 0.000013917 0.000159875 0.000195250 0.000106166
Iteration 144: 0.000020792 0.000202250 0.000177208 0.000083666
